Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Embree, Alan",lhp,37,Type B,SDN,OAK,2,"$5,500,000 ",2007-08,club,,"$2,750,000",Chris Leible,Lewis Wolff,Billy Beane,
"Stanton, Mike",lhp,40,Type B,SFN,CIN,2,"$5,500,000 ",2007-08,club,,"$2,750,000",ACES,Bob Castellini,Wayne Krivsky,
"Helms, Wes",3b,31,,FLA,PHI,2,"$5,450,000 ",2007-08,club,,"$2,725,000",Career Sports,Bill Giles,Pat Gillick,
"Blanco, Henry",c,35,Type C,CHN,CHN,2,"$5,250,000 ",2007-08,club,,"$2,625,000",Steve Schneider,Tribune Co.,Jim Hendry,
"Feliz, Pedro",3b,32,Type B,SFN,SFN,1,"$5,100,000 ",2007,,,"$5,100,000",ACES,Peter Magowan,Brian Sabean,
"Dotel, Octavio",rhp,33,,NYA,KCA,1,"$5,000,000 ",2007,player,,"$5,000,000",Dan Horwits,David Glass,Dayton Moore,
"Foulke, Keith",rhp,34,Type B,BOS,CLE,1,"$5,000,000 ",2007,mutual,,"$5,000,000",Dan Horwits,Larry Dolan,Mark Shapiro,
"Mota, Guillermo",rhp,33,Type B,NYN,NYN,2,"$5,000,000 ",2007-08,,,"$2,500,000",Adam Katz,Fred Wilpon,Omar Minaya,
"Weathers, David",rhp,37,Type A,CIN,CIN,2,"$5,000,000 ",2007-08,,,"$2,500,000",Dan Horwits,Bob Castellini,Wayne Krivsky,
"Spiezio, Scott",1b,34,,SLN,SLN,2,"$4,500,000 ",2007-08,club,,"$2,250,000",Meister Sports,Bill DeWitt Jr.,Walt Jocketty,
"Borowski, Joe",rhp,36,Type A,FLA,CLE,1,"$4,250,000 ",2007,club,,"$4,250,000",Ron Shapiro,Larry Dolan,Mark Shapiro,
"Casey, Sean",1b,32,Type A,DET,DET,1,"$4,000,000 ",2007,,,"$4,000,000",Ron Shapiro,Mike Ilitch,Dave Dombrowski,
"Wells, Kip",rhp,30,,TEX,SLN,1,"$4,000,000 ",2007,,,"$4,000,000",,Bill DeWitt Jr.,Walt Jocketty,
"Cora, Alex",ss,31,,BOS,BOS,2,"$4,000,000 ",2007-08,,,"$2,000,000",Boras Corp.,John Henry,Theo Epstein,
"Walker, Todd",2b,34,Type A,SDN,SDN,1,"$3,950,000 ",2007,,,"$3,950,000",Alan Meersand,John Moores,Kevin Towers,
"Valentin, Jose",2b,37,Type B,NYN,NYN,1,"$3,800,000 ",2007,club,,"$3,800,000",Dave Elston,Fred Wilpon,Omar Minaya,
"Armas, Tony Jr.",rhp-s,29,Type C,WAS,PIT,1,"$3,500,000 ",2007,player,,"$3,500,000",Diego Bentz,McClatchy/Nutting,Dave Littlefield,
"Hawkins, LaTroy",rhp,34,Type B,BAL,COL,1,"$3,500,000 ",2007,mutual,,"$3,500,000",Reynolds Sports,Monfort brothers,Dan O'Dowd,
"Hernandez, Roberto",rhp,42,Type A,NYN,CLE,1,"$3,500,000 ",2007,club,,"$3,500,000",Hendricks Sports,Larry Dolan,Mark Shapiro,
"Kline, Steve",lhp,34,Type C,SFN,SFN,2,"$3,500,000 ",2007-08,,,"$1,750,000",,Peter Magowan,Brian Sabean,
"Graffanino, Tony",2b,35,Type A,MIL,MIL,1,"$3,250,000 ",2007,,,"$3,250,000",Jeff Borris,Mark Attanasio,Doug Melvin,
"Ortiz, Ramon",rhp,34,Type B,WAS,MIN,1,"$3,100,000 ",2007,,,"$3,100,000",Pat Roache,Carl Pohlad,Terry Ryan,
"Trachsel, Steve",rhp,36,Type C,NYN,BAL,1,"$3,100,000 ",2007,club,,"$3,100,000",ACES,Peter Angelos,Mike Flanagan,
"Floyd, Cliff",rf,34,Type A,NYN,CHN,1,"$3,000,000 ",2007,mutual,,"$3,000,000",ACES,Tribune Co.,Jim Hendry,
"Nixon, Trot",of,33,Type B,BOS,CLE,1,"$3,000,000 ",2007,,,"$3,000,000",Ron Shapiro,Larry Dolan,Mark Shapiro,
